Pos,Name,Extra
C,Iván Rodríguez,3
1B,Chris Shelton,2
2B,Plácido Polanco,3
SS,Carlos Guillén,#
3B,Brandon Inge,2
LF,Craig Monroe,2
C,FCurtis Granderson,*
DH,Marcus Thames,2
P,"os
         Name
         Age
         G
         PA
         AB
         R
         H
         ",2
2B,Omar Infante,2
1B,Sean Casey,*
DH,Dmitri Young,#
C,Vance Wilson,3
OF,Alexis Gómez,*
MI,Ramón Santiago,#
MI,Neifi Pérez,#
DH,Matt Stairs,*
OF,Brent Clevlen,2
DH,Jack Hannahan,*
IF,Kevin Hooper,2
DH,Mike Rabelo,#
P,"os
         Name
         Age
         G
         PA
         AB
         R
         H
         ",2
P,Kenny Rogers,*
P,Nate Robertson,2
P,Zach Miner,2
P,Jeremy Bonderman,2
P,Justin Verlander,2
P,Fernando Rodney,2
P,Chris Spurling,2
P,Chad Durbin,2
P,Jamie Walker,*
P,Andrew Miller,*
P,Todd Jones,*
P,Joel Zumaya,2
P,Jordan Tata,2
P,Bobby Seay,*
P,Jason Grilli,2
P,Colby Lewis,2
P,Wil Ledezma,*
P,Mike Maroth,*
P,Román Colón,2
