Player Number,Player Info,Mills PWA,Win Points,Loss Points,Net Points,Situations,=,Average Points,Player Info 2
2,"Howard,Ryan,L,L,PHI,1B",0.639,37994,21480,+16514,708,=,+23,"Howard,Ryan,L,L,PHI,1B"
3,"Ortiz,David,L,L,BOS,1B",0.645,36061,19816,+16244,693,=,+23,"Ortiz,David,L,L,BOS,1B"
4,"Jeter,Derek,R,R,NYA,SS",0.611,32297,20538,+11759,759,=,+15,"Jeter,Derek,R,R,NYA,SS"
5,"Berkman,Lance,B,L,HOU,1",0.618,30476,18875,+11600,658,=,+18,"Berkman,Lance,B,L,HOU,1"
6,"Beltran,Carlos,B,R,NYN,",0.624,28265,17037,+11228,644,=,+17,"Beltran,Carlos,B,R,NYN,"
7,"Dye,Jermaine,R,R,CHA,OF",0.601,29776,19795,+9981,621,=,+16,"Dye,Jermaine,R,R,CHA,OF"
8,"Abreu,Bobby,L,R,NYA,OF",0.598,30204,20281,+9924,736,=,+13,"Abreu,Bobby,L,R,NYA,OF"
9,"Bonds,Barry,L,L,SFN,LF",0.636,22485,12873,+9612,502,=,+19,"Bonds,Barry,L,L,SFN,LF"
10,"Cabrera,Miguel,R,R,FLO,",0.599,27934,18701,+9233,689,=,+13,"Cabrera,Miguel,R,R,FLO,"
12,"Morneau,Justin,L,R,MIN,",0.583,30739,22017,+8722,674,=,+13,"Morneau,Justin,L,R,MIN,"
13,"Giambi,Jason,L,R,NYA,1B",0.592,27449,18899,+8551,584,=,+15,"Giambi,Jason,L,R,NYA,1B"
14,"Helton,Todd,L,L,COL,1B",0.592,26671,18414,+8258,660,=,+13,"Helton,Todd,L,L,COL,1B"
15,"Wright,David,R,R,NYN,3B",0.577,30540,22423,+8117,686,=,+12,"Wright,David,R,R,NYN,3B"
16,"Utley,Chase,L,R,PHI,2B",0.573,31354,23345,+8010,764,=,+10,"Utley,Chase,L,R,PHI,2B"
17,"Ramirez,Manny,R,R,BOS,O",0.593,25279,17338,+7941,569,=,+14,"Ramirez,Manny,R,R,BOS,O"
18,"Jones,Andruw,R,R,ATL,OF",0.569,31877,24110,+7767,679,=,+11,"Jones,Andruw,R,R,ATL,OF"
19,"Zimmerman,Ryan,R,R,WAS,",0.564,33320,25790,+7531,710,=,+11,"Zimmerman,Ryan,R,R,WAS,"
20,"Atkins,Garrett,R,R,COL,",0.566,30097,23124,+6973,699,=,+10,"Atkins,Garrett,R,R,COL,"
22,"Guerrero,Vladimir,R,R,A,OF",0.568,28344,21525,+6819,685,=,+10,"Guerrero,Vladimir,R,R,A,OF"
23,"Thome,Jim,L,R,CHA,1B",0.575,25008,18470,+6537,615,=,+11,"Thome,Jim,L,R,CHA,1B"
24,"Jenkins,Geoff,L,R,MIL,O",0.578,23907,17464,+6443,562,=,+11,"Jenkins,Geoff,L,R,MIL,O"
25,"Teahen,Mark,L,R,KCA,3B",0.592,20110,13878,+6232,457,=,+14,"Teahen,Mark,L,R,KCA,3B"
26,"Sizemore,Grady,L,L,CLE,",0.562,28048,21892,+6156,798,=,+8,"Sizemore,Grady,L,L,CLE,"
27,"Delgado,Carlos,L,R,NYN,",0.565,25745,19824,+5920,626,=,+9,"Delgado,Carlos,L,R,NYN,"
28,"Johnson,Nick,L,L,WAS,1B",0.559,27569,21745,+5825,649,=,+9,"Johnson,Nick,L,L,WAS,1B"
29,"Durham,Ray,B,R,SFN,2B",0.564,25265,19523,+5741,567,=,+10,"Durham,Ray,B,R,SFN,2B"
30,"Guillen,Carlos,B,R,DET,",0.561,25773,20154,+5619,660,=,+9,"Guillen,Carlos,B,R,DET,"
32,"Ramirez,Aramis,R,R,CHN,",0.552,27688,22467,+5221,672,=,+8,"Ramirez,Aramis,R,R,CHN,"
33,"McCann,Brian,L,R,ATL,C",0.565,21919,16843,+5076,499,=,+10,"McCann,Brian,L,R,ATL,C"
34,"Holliday,Matt,R,R,COL,O",0.546,29965,24937,+5029,688,=,+7,"Holliday,Matt,R,R,COL,O"
35,"Mauer,Joe,L,R,MIN,C",0.563,22310,17310,+5001,627,=,+8,"Mauer,Joe,L,R,MIN,C"
36,"Cuddyer,Michael,R,R,MINB",0.552,26067,21123,+4944,649,=,+8,"Cuddyer,Michael,R,R,MINB"
37,"Young,Michael,R,R,TEX,S",0.548,28102,23193,+4909,767,=,+6,"Young,Michael,R,R,TEX,S"
38,"Hawpe,Bradley,L,L,COL,O",0.550,26164,21402,+4762,589,=,+8,"Hawpe,Bradley,L,L,COL,O"
39,"Helms,Wes,R,R,FLO,3B",0.607,13184,8552,+4631,282,=,+16,"Helms,Wes,R,R,FLO,3B"
40,"Lee,Carlos,R,R,MIL,OF",0.546,27234,22634,+4599,720,=,+6,"Lee,Carlos,R,R,MIL,OF"
42,"Youkilis,Kevin,R,R,BOS,",0.548,25460,20988,+4472,691,=,+6,"Youkilis,Kevin,R,R,BOS,"
43,"Bard,Josh,B,R,BOS,C",0.588,14858,10411,+4448,286,=,+16,"Bard,Josh,B,R,BOS,C"
44,"Wells,Vernon,R,R,TOR,OF",0.546,26073,21675,+4397,703,=,+6,"Wells,Vernon,R,R,TOR,OF"
45,"Catalanotto,Frank,L,R,T,OF",0.564,19163,14799,+4363,505,=,+9,"Catalanotto,Frank,L,R,T,OF"
